ID1,ID2,ID3,String1,String2,String3,Float1,Float2,Float3,Status
A347814,B082362,C235482,Marketplace,EUR,REF-92943715,8.49,0.0,8.48,Settled
A259702,B514145,C813069,Marketplace,EUR,REF-21507143,2.89,0.23,2.64,Failed
A799701,B262802,C125374,B2B,EUR,REF-73531080,12.12,0.5,11.58,Settled
A023857,B020480,C966527,Marketplace,GBP,REF-02285663,14.12,0.42,13.65,Failed
A892167,B695778,C599877,Online,NOK,REF-33438356,1.4,0.17,1.28,Failed
A769773,B726191,C960620,B2B,EUR,REF-93066252,2.35,0.1,2.24,Settled
A571476,B710115,C919757,Wholesale,EUR,REF-10610991,7.37,0.27,7.13,Settled
A986395,B093604,C022020,Retail,GBP,REF-73139349,5.16,0.0,5.140000000000001,Settled
A267578,B833651,C973676,Subscription,EUR,REF-39019213,6.56,0.0,6.54,Reversed
A986414,B089285,C983250,B2B,EUR,REF-53503381,3.36,0.03,3.35,Failed
A133888,B540588,C426070,Subscription,GBP,REF-84392280,13.44,0.34,13.1,Settled
A751086,B956562,C451046,Online,EUR,REF-85306331,12.39,0.17,12.29,Pending
A200450,B801984,C467335,Subscription,USD,REF-40948016,7.01,0.0,7.0,In Review
A667840,B941448,C549928,Online,USD,REF-87774836,16.39,0.24,16.2,Settled
A351040,B503186,C626275,Wholesale,GBP,REF-46543038,9.67,0.13,9.49,Settled
A374372,B425441,C080130,Wholesale,EUR,REF-23019609,3.34,0.0,3.3,Settled
A259063,B201603,C037614,Online,EUR,REF-95793921,8.93,0.31,8.53,Settled
A924609,B990162,C062813,Wholesale,EUR,REF-90905991,3.09,0.3,2.86,Settled
A562118,B445434,C542508,Retail,USD,REF-91975053,13.43,0.55,12.85,Cancelled
A480659,B607984,C558458,Subscription,EUR,REF-09087510,6.39,0.12,6.25,Settled
A269597,B172589,C627699,Online,USD,REF-71301679,5.74,0.11,5.56,Failed
A727176,B306909,C247477,Retail,USD,REF-86684716,3.86,0.3,3.56,In Review
A246035,B545885,C125004,Marketplace,PLN,REF-20568359,17.69,0.48,17.2,Settled
A566960,B830780,C275086,Subscription,PLN,REF-49459832,5.88,0.22,5.75,Reversed
A364427,B516102,C829129,Retail,EUR,REF-98939342,4.72,0.35,4.41,Pending
A896927,B194835,C448882,Retail,EUR,REF-79797277,5.02,0.26,4.73,Settled
A306272,B261237,C535420,Retail,EUR,REF-34088019,10.18,0.11,9.99,Settled
A689429,B592363,C107879,Online,GBP,REF-35212169,8.91,0.07,8.72,Settled
A181196,B486234,C868489,Wholesale,USD,REF-10862728,9.25,0.0,9.2,Reversed
A306798,B217345,C175440,Marketplace,EUR,REF-95722552,9.39,0.18,9.14,In Review
A518470,B603655,C554472,Online,GBP,REF-88190312,36.9,0.43,36.49,Settled
A915893,B668859,C994247,B2B,EUR,REF-79655761,4.81,0.4,4.4,Settled
A406275,B434754,C308211,Wholesale,USD,REF-40490749,4.42,0.13,4.29,Settled
A176938,B899910,C468604,Retail,EUR,REF-44940719,3.47,0.0,3.42,Failed
A891865,B223587,C374634,Online,EUR,REF-37677319,10.89,0.09,10.8,Settled
A212775,B372778,C291113,B2B,GBP,REF-36071958,16.41,0.3,16.04,Settled
A221633,B953819,C955099,B2B,GBP,REF-06422640,6.07,0.13,5.94,In Review
A359129,B071903,C732251,Wholesale,USD,REF-21104608,3.4,0.0,3.38,Settled
A817665,B802534,C451108,Wholesale,USD,REF-61158993,3.44,0.07,3.35,Settled
A367711,B169081,C601739,Online,EUR,REF-27539406,11.19,0.0,11.17,Settled
A957148,B212955,C508411,Online,EUR,REF-15328063,12.05,0.01,11.94,Settled
A823377,B164879,C950047,Wholesale,USD,REF-44206424,10.27,0.05,10.12,Pending
A831669,B476691,C758507,Marketplace,EUR,REF-80550711,3.91,0.0,3.9000000000000004,Cancelled
A437337,B215286,C316765,Marketplace,GBP,REF-35421823,8.01,0.04,8.0,Pending
A831067,B378155,C815140,Online,USD,REF-75382023,7.3,0.0,7.29,Settled
