transaction_id,merchant_id,customer_id,business_category,currency_code,reference_token,gross_amount,fee_amount,net_amount,transaction_status,tax_amount,calculated_net,final_status,fee_percentage,currency_region,commerce_type,net_amount_mismatch_flag,fee_exceeds_amount_flag,dbt_loaded_at
A218303,B972086,C390107,ONLINE,EUR,REF-75764771,10.01,0,10,Cancelled,1,10.01,Cancelled,0,Europe,Digital Commerce,false,false,2026-02-25 17:55:51.437438 UTC
A731835,B681006,C244205,SUBSCRIPTION,EUR,REF-92902411,2.01,0,2.01,Cancelled,0.2,2.01,Cancelled,0,Europe,Digital Commerce,false,false,2026-02-25 17:55:51.437438 UTC
A140038,B979797,C478640,SUBSCRIPTION,EUR,REF-74313140,12.57,0.11,12.41,Cancelled,1.26,12.46,Cancelled,0.88,Europe,Digital Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A788222,B047460,C583893,SUBSCRIPTION,EUR,REF-49734249,13.27,0.16,13.11,Cancelled,1.33,13.11,Cancelled,1.21,Europe,Digital Commerce,false,false,2026-02-25 17:55:51.437438 UTC
A195475,B731413,C635293,SUBSCRIPTION,EUR,REF-17705100,3.23,0.4,2.76,Cancelled,0.32,2.83,Cancelled,12.38,Europe,Digital Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A886289,B512133,C502943,WHOLESALE,EUR,REF-07000974,1.96,0,1.91,Cancelled,0.2,1.96,Cancelled,0,Europe,Physical Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A244678,B967755,C112424,WHOLESALE,EUR,REF-00981268,4.37,0.14,4.18,Cancelled,0.44,4.23,Cancelled,3.2,Europe,Physical Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A779304,B528843,C571216,WHOLESALE,EUR,REF-76637443,14.92,0.17,14.74,Cancelled,1.49,14.75,Cancelled,1.14,Europe,Physical Commerce,false,false,2026-02-25 17:55:51.437438 UTC
A929694,B130187,C416090,B2B,EUR,REF-36479938,12.62,0.17,12.56,Cancelled,1.26,12.45,Cancelled,1.35,Europe,Business Services,true,false,2026-02-25 17:55:51.437438 UTC
A775066,B938164,C368948,ONLINE,EUR,REF-29452043,4.71,0.01,4.68,Cancelled,0.47,4.7,Cancelled,0.21,Europe,Digital Commerce,true,false,2026-02-25 17:55:51.437438 UTC
